,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
13133,юр. лицо,списание средств,4275.23,безналичный,Брест,Приорбанк-DDXD-470,30-04-2017,23:10:33,недостаточно средств,нет,0.0
13160,физ. лицо,получение средств,3671.48,безналичный,Витебск,Приорбанк-OYLC-281,16-05-2012,23:13:19,успешно,нет,0.0
13226,юр. лицо,получение средств,1855.13,наличный,Минск,Белинвестбанк-BZOE-290,24-06-2023,23:49:00,успешно,нет,0.0
13231,физ. лицо,получение средств,4810.35,безналичный,Гродно,Беларусбанк-YSPF-426,15-01-2004,23:58:47,успешно,нет,0.0
13254,юр. лицо,списание средств,325.25,наличный,Витебск,БелАгропромбанк-JJDM-460,04-05-2024,23:03:38,недостаточно средств,да,4.23
13268,физ. лицо,списание средств,1312.38,наличный,Витебск,Белинвестбанк-BUTD-812,27-08-2013,23:34:57,успешно,да,51.3
13276,юр. лицо,получение средств,4656.42,наличный,Витебск,БелАгропромбанк-MPOF-447,08-12-2005,23:51:36,успешно,нет,0.0
13304,юр. лицо,списание средств,1424.6,безналичный,Гомель,Беларусбанк-IUNZ-723,08-11-2024,23:29:27,недостаточно средств,да,38.4
13409,физ. лицо,получение средств,1082.41,наличный,Витебск,Приорбанк-IWSW-716,19-05-2017,23:06:56,успешно,нет,0.0
13448,юр. лицо,списание средств,3757.17,наличный,Брест,Белинвестбанк-XOTP-986,28-07-2013,23:42:30,успешно,да,79.8
13473,юр. лицо,получение средств,14.25,безналичный,Могилев,Приорбанк-FOAD-819,22-01-2019,23:42:22,успешно,нет,0.0
13488,юр. лицо,получение средств,2688.66,безналичный,Минск,Приорбанк-CAJG-576,27-05-2007,23:24:28,успешно,нет,0.0
13539,физ. лицо,получение средств,1970.95,наличный,Могилев,Беларусбанк-NKQK-175,15-04-2000,23:03:29,успешно,нет,0.0
13553,физ. лицо,получение средств,2585.52,наличный,Минск,Белинвестбанк-TMDZ-327,06-05-2010,23:25:25,успешно,нет,0.0
13558,юр. лицо,списание средств,3425.2,наличный,Гомель,Беларусбанк-SRSG-299,24-11-2023,23:19:07,неправильный ввод пин-кода,нет,0.0
13616,юр. лицо,списание средств,3904.59,безналичный,Брест,Беларусбанк-JZKI-578,30-01-2003,23:16:17,недостаточно средств,да,341.18
13649,физ. лицо,получение средств,2346.07,наличный,Брест,Приорбанк-WMQX-627,25-02-2020,23:28:21,успешно,нет,0.0
13665,физ. лицо,списание средств,65.72,безналичный,Витебск,БелАгропромбанк-NFWO-695,13-11-2004,23:57:04,недостаточно средств,нет,0.0
13666,юр. лицо,получение средств,1127.7,безналичный,Брест,Беларусбанк-IPXB-860,02-05-2016,23:56:49,успешно,нет,0.0
13670,юр. лицо,получение средств,4180.34,наличный,Брест,Беларусбанк-SGBC-964,09-12-2015,23:30:13,успешно,нет,0.0
13716,юр. лицо,списание средств,4761.52,безналичный,Витебск,Приорбанк-NHXF-560,23-08-2014,23:08:10,неправильный ввод пин-кода,да,345.26
13725,физ. лицо,списание средств,3585.08,безналичный,Гомель,Приорбанк-YZDR-398,19-10-2023,23:18:21,неправильный ввод пин-кода,нет,0.0
13743,физ. лицо,получение средств,4754.9,безналичный,Могилев,Приорбанк-PMZW-569,15-03-2006,23:06:18,успешно,нет,0.0
13775,юр. лицо,получение средств,2101.19,безналичный,Могилев,МаксБанк-XXKP-176,20-10-2014,23:09:18,успешно,нет,0.0
13816,юр. лицо,получение средств,346.91,безналичный,Минск,Белинвестбанк-MZMM-219,24-02-2012,23:29:00,успешно,нет,0.0
13882,юр. лицо,получение средств,2034.44,наличный,Витебск,Белинвестбанк-VXGB-442,28-01-2006,23:13:59,успешно,нет,0.0
13938,юр. лицо,получение средств,4623.47,наличный,Брест,БелАгропромбанк-HFEX-735,27-06-2003,23:06:34,успешно,нет,0.0
13954,юр. лицо,списание средств,4178.08,безналичный,Витебск,Беларусбанк-IUNR-149,02-12-2012,23:52:56,успешно,да,334.52
14023,физ. лицо,получение средств,472.76,наличный,Минск,Белинвестбанк-SEWA-497,14-12-2012,23:22:21,успешно,нет,0.0
14048,юр. лицо,получение средств,3639.02,наличный,Гродно,МаксБанк-NIVU-800,16-12-2017,23:42:07,успешно,нет,0.0
14093,физ. лицо,получение средств,2321.75,безналичный,Брест,МаксБанк-AMYL-759,03-01-2021,23:31:54,успешно,нет,0.0
14097,физ. лицо,списание средств,1644.41,безналичный,Гродно,МаксБанк-WNVI-151,16-02-2009,23:47:46,неправильный ввод пин-кода,нет,0.0
14098,юр. лицо,получение средств,2993.71,наличный,Витебск,МаксБанк-MOJC-242,25-09-2019,23:48:57,успешно,нет,0.0
14124,юр. лицо,списание средств,3225.99,безналичный,Гомель,Беларусбанк-TFAX-237,27-06-2024,23:27:55,успешно,нет,0.0
14128,юр. лицо,получение средств,388.77,безналичный,Могилев,МаксБанк-UCVE-919,17-12-2013,23:44:24,успешно,нет,0.0
14152,физ. лицо,списание средств,176.32,безналичный,Гомель,МаксБанк-FRFF-844,26-01-2004,23:39:33,недостаточно средств,да,10.37
14159,физ. лицо,списание средств,3586.57,безналичный,Гродно,Приорбанк-TREQ-709,03-04-2020,23:41:14,неправильный ввод пин-кода,нет,0.0
14162,физ. лицо,списание средств,1199.51,наличный,Гомель,МаксБанк-RYVR-758,23-04-2000,23:14:33,успешно,нет,0.0
14235,юр. лицо,списание средств,1059.18,безналичный,Гомель,Беларусбанк-XUZH-179,17-05-2021,23:25:24,недостаточно средств,да,20.05
14239,юр. лицо,списание средств,181.45,наличный,Гродно,Белинвестбанк-WTRJ-486,28-06-2014,23:44:30,успешно,да,2.53
14261,юр. лицо,списание средств,3255.59,безналичный,Могилев,Беларусбанк-HBDV-498,16-04-2005,23:27:05,успешно,да,103.73
14265,юр. лицо,получение средств,4133.42,безналичный,Гомель,Белинвестбанк-CBQE-751,18-08-2018,23:25:52,успешно,нет,0.0
14288,юр. лицо,списание средств,1365.3,безналичный,Брест,Белинвестбанк-ZCCQ-762,11-09-2024,23:52:44,недостаточно средств,да,14.28
14350,физ. лицо,получение средств,2515.29,наличный,Витебск,Белинвестбанк-RHPC-387,04-02-2010,23:14:39,успешно,нет,0.0
14369,юр. лицо,списание средств,4950.85,безналичный,Гродно,Приорбанк-KWDT-515,23-09-2016,23:06:32,неправильный ввод пин-кода,да,151.04
14447,юр. лицо,получение средств,2665.02,наличный,Брест,БелАгропромбанк-LVHT-525,22-07-2000,23:08:47,успешно,нет,0.0
14484,физ. лицо,получение средств,3609.48,наличный,Витебск,Белинвестбанк-JYIL-561,07-07-2019,23:12:01,успешно,нет,0.0
14488,юр. лицо,получение средств,518.97,наличный,Брест,Беларусбанк-QYSC-393,02-02-2024,23:51:04,успешно,нет,0.0
14518,физ. лицо,получение средств,2053.91,наличный,Могилев,БелАгропромбанк-XNOR-153,30-11-2010,23:42:45,успешно,нет,0.0
14551,юр. лицо,получение средств,1700.8,безналичный,Гомель,Беларусбанк-GMMA-671,28-03-2000,23:41:02,успешно,нет,0.0
14559,физ. лицо,списание средств,2003.44,наличный,Витебск,Белинвестбанк-RXML-204,11-12-2018,23:18:29,успешно,нет,0.0
14583,физ. лицо,списание средств,998.11,наличный,Брест,БелАгропромбанк-WMPQ-712,16-08-2021,23:36:06,недостаточно средств,нет,0.0
14598,физ. лицо,списание средств,255.93,наличный,Витебск,Приорбанк-XKVH-623,05-04-2000,23:09:10,неправильный ввод пин-кода,нет,0.0
14628,физ. лицо,получение средств,4533.43,наличный,Гродно,МаксБанк-QURF-740,19-11-2010,23:00:54,успешно,нет,0.0
14657,физ. лицо,списание средств,2590.86,наличный,Минск,Беларусбанк-ZCGT-067,15-12-2023,23:51:55,успешно,да,95.16
14676,юр. лицо,списание средств,266.84,наличный,Минск,Беларусбанк-LLXV-166,09-09-2013,23:45:19,неправильный ввод пин-кода,да,3.85
14711,юр. лицо,списание средств,4651.87,безналичный,Минск,МаксБанк-JFYS-121,04-09-2020,23:08:05,недостаточно средств,нет,0.0
14729,юр. лицо,получение средств,2193.16,безналичный,Минск,Приорбанк-LESX-945,05-11-2008,23:05:57,успешно,нет,0.0
14739,юр. лицо,получение средств,300.6,безналичный,Витебск,МаксБанк-XTMG-104,11-11-2023,23:35:10,успешно,нет,0.0
14765,физ. лицо,получение средств,1705.31,безналичный,Витебск,Белинвестбанк-JPVQ-425,03-05-2004,23:32:24,успешно,нет,0.0
14779,физ. лицо,списание средств,1965.95,наличный,Гомель,БелАгропромбанк-CFCW-672,31-01-2023,23:06:27,недостаточно средств,да,147.68
14794,юр. лицо,получение средств,1771.4,безналичный,Гродно,Беларусбанк-OHRG-553,02-07-2011,23:04:39,успешно,нет,0.0
14796,физ. лицо,списание средств,4179.33,наличный,Могилев,Беларусбанк-NLFJ-746,06-10-2015,23:34:33,успешно,да,399.07
14799,физ. лицо,получение средств,2467.55,наличный,Гомель,Белинвестбанк-GALT-530,06-11-2015,23:40:42,успешно,нет,0.0
14816,физ. лицо,списание средств,2726.41,безналичный,Гродно,Белинвестбанк-PJVO-154,29-03-2000,23:02:06,успешно,да,234.11
14830,юр. лицо,получение средств,4818.24,безналичный,Гродно,Беларусбанк-ITDB-871,23-04-2016,23:58:03,успешно,нет,0.0
14885,юр. лицо,получение средств,2420.47,наличный,Гродно,Белинвестбанк-XAWY-121,04-11-2008,23:07:31,успешно,нет,0.0
14889,физ. лицо,списание средств,2546.48,наличный,Брест,Белинвестбанк-AYKO-466,09-12-2018,23:59:15,неправильный ввод пин-кода,нет,0.0
14929,юр. лицо,списание средств,4861.54,наличный,Гродно,МаксБанк-HNXP-387,17-09-2000,23:54:22,недостаточно средств,нет,0.0
14979,физ. лицо,списание средств,163.85,наличный,Витебск,Белинвестбанк-XEAM-025,04-01-2023,23:22:56,неправильный ввод пин-кода,нет,0.0
14989,физ. лицо,получение средств,4.52,безналичный,Витебск,Белинвестбанк-DADM-949,25-08-2000,23:34:38,успешно,нет,0.0
15012,физ. лицо,списание средств,1023.5,наличный,Могилев,Беларусбанк-UGBY-351,13-07-2008,23:01:06,недостаточно средств,нет,0.0
15014,физ. лицо,получение средств,4221.57,безналичный,Витебск,Беларусбанк-RVCB-669,02-03-2022,23:06:16,успешно,нет,0.0
15038,физ. лицо,получение средств,2321.16,наличный,Гродно,БелАгропромбанк-ESTG-189,22-04-2004,23:43:51,успешно,нет,0.0
15040,юр. лицо,списание средств,807.7,наличный,Минск,МаксБанк-QQZB-449,04-02-2003,23:02:15,неправильный ввод пин-кода,да,32.16
15085,физ. лицо,получение средств,205.7,наличный,Брест,МаксБанк-TAIZ-582,09-01-2008,23:12:27,успешно,нет,0.0
15097,физ. лицо,списание средств,2978.91,наличный,Витебск,БелАгропромбанк-MAFH-139,07-09-2017,23:59:16,недостаточно средств,нет,0.0
15117,физ. лицо,списание средств,313.98,безналичный,Минск,Белинвестбанк-YFJI-439,17-08-2005,23:43:44,успешно,да,23.62
15159,физ. лицо,получение средств,3388.48,безналичный,Могилев,Беларусбанк-FVRI-653,04-06-2021,23:18:50,успешно,нет,0.0
15263,физ. лицо,списание средств,4412.96,безналичный,Минск,БелАгропромбанк-DKDP-418,18-10-2005,23:52:36,неправильный ввод пин-кода,да,272.52
15275,физ. лицо,списание средств,4682.9,безналичный,Могилев,Беларусбанк-MTJG-046,18-03-2007,23:55:06,неправильный ввод пин-кода,нет,0.0
15297,юр. лицо,списание средств,866.44,безналичный,Витебск,БелАгропромбанк-ZWON-782,09-04-2014,23:24:17,успешно,нет,0.0
15307,физ. лицо,получение средств,845.23,безналичный,Могилев,Приорбанк-YMIQ-773,16-01-2014,23:32:24,успешно,нет,0.0
15375,юр. лицо,списание средств,4399.29,наличный,Гродно,МаксБанк-POAQ-572,02-11-2003,23:43:59,неправильный ввод пин-кода,да,255.17
15412,юр. лицо,списание средств,3228.12,безналичный,Гродно,Белинвестбанк-LJJZ-119,24-11-2006,23:29:56,недостаточно средств,да,99.55
15448,юр. лицо,получение средств,2130.4,безналичный,Гродно,БелАгропромбанк-XVUK-852,01-04-2004,23:27:48,успешно,нет,0.0
15476,физ. лицо,получение средств,2063.11,безналичный,Гродно,БелАгропромбанк-YNDO-755,02-04-2018,23:51:50,успешно,нет,0.0
15496,юр. лицо,получение средств,66.69,безналичный,Брест,Беларусбанк-JLQP-027,08-07-2004,23:31:09,успешно,нет,0.0
15506,физ. лицо,получение средств,4323.02,безналичный,Брест,МаксБанк-JWJD-294,10-03-2022,23:20:36,успешно,нет,0.0
15523,юр. лицо,получение средств,845.2,наличный,Гомель,Приорбанк-TPBQ-758,26-05-2019,23:57:12,успешно,нет,0.0
15537,юр. лицо,списание средств,506.88,безналичный,Могилев,БелАгропромбанк-PIWJ-367,01-04-2010,23:41:50,недостаточно средств,да,21.28
15574,физ. лицо,получение средств,229.22,наличный,Гродно,Белинвестбанк-YZAP-152,08-06-2020,23:22:51,успешно,нет,0.0
15586,юр. лицо,списание средств,2795.29,безналичный,Брест,Приорбанк-TCHR-870,25-07-2021,23:45:12,неправильный ввод пин-кода,нет,0.0
15602,физ. лицо,списание средств,2788.9,наличный,Могилев,МаксБанк-KUCL-704,01-10-2016,23:07:25,успешно,нет,0.0
15638,юр. лицо,списание средств,3129.34,наличный,Брест,Приорбанк-KGFL-536,12-06-2003,23:55:38,неправильный ввод пин-кода,да,183.72
15645,юр. лицо,списание средств,1477.66,наличный,Могилев,Беларусбанк-GQFD-409,09-06-2021,23:57:42,неправильный ввод пин-кода,нет,0.0
15658,юр. лицо,списание средств,3836.3,безналичный,Витебск,Приорбанк-BPVJ-812,24-07-2023,23:55:17,неправильный ввод пин-кода,нет,0.0
15697,юр. лицо,получение средств,4741.41,наличный,Могилев,Приорбанк-LIOI-667,16-11-2017,23:42:10,успешно,нет,0.0
15742,физ. лицо,получение средств,3869.06,безналичный,Гродно,Белинвестбанк-ABPD-534,10-02-2006,23:42:11,успешно,нет,0.0
15754,юр. лицо,получение средств,4666.58,наличный,Брест,Беларусбанк-OWJW-032,02-01-2004,23:21:09,успешно,нет,0.0
15765,физ. лицо,получение средств,1951.01,наличный,Витебск,Белинвестбанк-EQIQ-993,18-01-2014,23:09:51,успешно,нет,0.0
15787,юр. лицо,получение средств,4563.54,безналичный,Витебск,БелАгропромбанк-CJFE-792,27-08-2008,23:09:26,успешно,нет,0.0
15804,юр. лицо,списание средств,990.59,безналичный,Гомель,Беларусбанк-TABG-079,02-10-2001,23:27:10,недостаточно средств,да,61.81
15816,физ. лицо,списание средств,4453.3,наличный,Могилев,Беларусбанк-UAWK-361,09-08-2000,23:12:37,недостаточно средств,нет,0.0
15828,физ. лицо,списание средств,262.13,безналичный,Витебск,Приорбанк-IZWJ-496,27-05-2013,23:43:46,успешно,нет,0.0
15835,юр. лицо,списание средств,1500.09,безналичный,Могилев,Беларусбанк-ORHK-304,04-11-2017,23:02:23,неправильный ввод пин-кода,нет,0.0
15854,юр. лицо,получение средств,3819.84,безналичный,Брест,Беларусбанк-SXUP-645,06-05-2015,23:04:02,успешно,нет,0.0
15880,юр. лицо,получение средств,2302.96,безналичный,Витебск,БелАгропромбанк-JPRF-643,04-05-2006,23:11:54,успешно,нет,0.0
15920,юр. лицо,получение средств,3319.42,наличный,Минск,МаксБанк-QQSS-349,18-06-2007,23:12:41,успешно,нет,0.0
15990,юр. лицо,получение средств,1285.93,безналичный,Гомель,Приорбанк-YLNR-122,26-07-2001,23:02:17,успешно,нет,0.0
15999,юр. лицо,списание средств,1162.71,безналичный,Могилев,БелАгропромбанк-KWZG-450,10-07-2019,23:27:58,успешно,нет,0.0
16023,юр. лицо,списание средств,4520.05,наличный,Минск,Белинвестбанк-KYCP-079,09-02-2019,23:19:04,успешно,да,161.9
16090,юр. лицо,списание средств,3780.54,безналичный,Гродно,МаксБанк-PKMH-223,12-09-2012,23:33:39,неправильный ввод пин-кода,да,199.99
16093,юр. лицо,получение средств,1506.3,безналичный,Могилев,БелАгропромбанк-PGWZ-829,01-05-2007,23:58:09,успешно,нет,0.0
16098,юр. лицо,получение средств,4246.15,наличный,Минск,БелАгропромбанк-DTAI-890,31-10-2018,23:43:13,успешно,нет,0.0
16144,юр. лицо,списание средств,2146.56,безналичный,Минск,Белинвестбанк-IROR-795,02-08-2023,23:35:35,неправильный ввод пин-кода,да,213.3
16183,юр. лицо,списание средств,3548.78,безналичный,Гродно,Приорбанк-UZFW-496,14-11-2023,23:00:39,недостаточно средств,нет,0.0
16190,физ. лицо,списание средств,4407.5,наличный,Витебск,Приорбанк-GFSS-685,23-01-2015,23:33:06,успешно,нет,0.0
16282,физ. лицо,списание средств,3889.3,наличный,Гомель,Белинвестбанк-IWQJ-931,13-09-2013,23:24:59,неправильный ввод пин-кода,да,118.84
16337,юр. лицо,списание средств,437.32,безналичный,Гомель,Белинвестбанк-VSAE-580,29-09-2024,23:22:11,недостаточно средств,да,15.14
16371,физ. лицо,получение средств,3330.73,наличный,Могилев,МаксБанк-QOPA-049,17-05-2023,23:01:28,успешно,нет,0.0
16451,юр. лицо,получение средств,3287.11,безналичный,Гомель,Приорбанк-BBKO-058,18-09-2014,23:03:57,успешно,нет,0.0
16474,физ. лицо,получение средств,2633.16,безналичный,Минск,Белинвестбанк-HBJW-735,29-10-2012,23:04:45,успешно,нет,0.0
16511,юр. лицо,списание средств,128.55,безналичный,Брест,МаксБанк-RTHL-895,13-03-2005,23:04:22,успешно,нет,0.0
16532,физ. лицо,списание средств,4972.21,безналичный,Минск,БелАгропромбанк-NBBQ-151,28-04-2023,23:18:03,неправильный ввод пин-кода,нет,0.0
16562,юр. лицо,списание средств,3248.53,наличный,Гомель,БелАгропромбанк-EDCL-682,07-12-2009,23:24:13,успешно,нет,0.0
16576,юр. лицо,получение средств,2773.82,безналичный,Витебск,Приорбанк-TOLP-899,03-07-2017,23:27:15,успешно,нет,0.0
16605,юр. лицо,списание средств,4874.06,наличный,Витебск,БелАгропромбанк-XILP-637,29-06-2020,23:17:11,недостаточно средств,да,471.81
16688,физ. лицо,списание средств,2466.72,наличный,Витебск,БелАгропромбанк-HFBW-794,01-09-2003,23:57:41,недостаточно средств,да,69.92
16718,юр. лицо,получение средств,3246.46,безналичный,Могилев,БелАгропромбанк-ECFX-987,10-05-2021,23:29:23,успешно,нет,0.0
16727,юр. лицо,списание средств,316.66,безналичный,Могилев,БелАгропромбанк-XWBN-079,13-02-2000,23:10:50,неправильный ввод пин-кода,да,10.64
16733,физ. лицо,списание средств,24.36,наличный,Минск,Белинвестбанк-FMMQ-823,03-01-2004,23:24:35,успешно,да,0.6
16740,физ. лицо,списание средств,2322.43,наличный,Минск,Приорбанк-OSTJ-311,02-08-2000,23:30:45,успешно,да,188.37
16753,физ. лицо,списание средств,1289.79,наличный,Минск,МаксБанк-QBEQ-276,23-02-2010,23:10:59,неправильный ввод пин-кода,нет,0.0
16771,юр. лицо,списание средств,2954.12,безналичный,Гродно,МаксБанк-TGHX-732,17-12-2001,23:58:32,недостаточно средств,да,165.05
16772,физ. лицо,получение средств,521.78,безналичный,Гродно,Приорбанк-TUPY-143,28-03-2004,23:56:31,успешно,нет,0.0
16790,физ. лицо,получение средств,3988.47,безналичный,Брест,Белинвестбанк-PCSM-143,14-01-2016,23:48:30,успешно,нет,0.0
16813,юр. лицо,получение средств,207.19,безналичный,Могилев,МаксБанк-HAHZ-006,11-07-2006,23:26:06,успешно,нет,0.0
16824,юр. лицо,получение средств,1159.71,наличный,Могилев,Белинвестбанк-KHVA-311,10-10-2017,23:04:41,успешно,нет,0.0
16830,юр. лицо,получение средств,1622.05,наличный,Витебск,Белинвестбанк-NMQG-617,04-09-2023,23:08:46,успешно,нет,0.0
16903,юр. лицо,списание средств,3131.65,наличный,Гродно,БелАгропромбанк-FWPS-098,11-12-2013,23:17:06,недостаточно средств,нет,0.0
16910,юр. лицо,получение средств,280.01,безналичный,Витебск,Приорбанк-ZJWC-150,26-05-2020,23:46:22,успешно,нет,0.0
16945,юр. лицо,получение средств,4007.97,безналичный,Минск,БелАгропромбанк-ZQWX-129,17-11-2002,23:13:39,успешно,нет,0.0
17008,юр. лицо,списание средств,2761.15,наличный,Витебск,Белинвестбанк-WONG-104,17-06-2012,23:44:23,успешно,нет,0.0
17011,юр. лицо,списание средств,2303.53,безналичный,Витебск,БелАгропромбанк-RXSK-941,13-01-2012,23:16:18,неправильный ввод пин-кода,да,179.53
17034,юр. лицо,получение средств,2923.16,наличный,Гомель,Приорбанк-NKNV-304,07-05-2008,23:05:49,успешно,нет,0.0
17054,юр. лицо,получение средств,208.71,наличный,Гомель,Белинвестбанк-TZAM-897,30-08-2005,23:17:51,успешно,нет,0.0
17057,юр. лицо,списание средств,2288.44,безналичный,Минск,МаксБанк-MMEI-400,23-02-2017,23:55:51,недостаточно средств,нет,0.0
17147,юр. лицо,получение средств,629.41,безналичный,Гомель,Беларусбанк-AZTE-858,14-06-2004,23:11:45,успешно,нет,0.0
17162,физ. лицо,списание средств,4274.85,безналичный,Гродно,БелАгропромбанк-STPA-693,21-08-2012,23:07:46,недостаточно средств,нет,0.0
17194,физ. лицо,получение средств,846.96,безналичный,Минск,БелАгропромбанк-OAEA-801,23-05-2003,23:53:39,успешно,нет,0.0
17197,физ. лицо,списание средств,2604.83,безналичный,Гродно,Беларусбанк-HTNP-895,27-10-2000,23:10:51,успешно,нет,0.0
17277,юр. лицо,списание средств,1458.21,наличный,Гродно,БелАгропромбанк-UGDE-744,04-04-2018,23:01:59,неправильный ввод пин-кода,да,59.5
17356,юр. лицо,списание средств,89.95,наличный,Брест,Беларусбанк-NLTT-808,28-01-2019,23:49:57,неправильный ввод пин-кода,нет,0.0
17358,юр. лицо,получение средств,1766.21,безналичный,Витебск,БелАгропромбанк-SOOV-013,18-07-2013,23:02:57,успешно,нет,0.0
17377,физ. лицо,получение средств,4739.55,безналичный,Минск,Белинвестбанк-UMGJ-667,24-06-2012,23:34:13,успешно,нет,0.0
17386,юр. лицо,списание средств,2140.6,наличный,Витебск,МаксБанк-UKCG-997,23-02-2013,23:57:04,успешно,нет,0.0
17387,физ. лицо,списание средств,4951.93,безналичный,Витебск,Белинвестбанк-GWQV-830,20-09-2000,23:39:02,успешно,нет,0.0
17434,физ. лицо,получение средств,3703.81,наличный,Гродно,Белинвестбанк-VZKN-583,09-10-2006,23:38:42,успешно,нет,0.0
17485,юр. лицо,получение средств,2241.93,безналичный,Витебск,Белинвестбанк-POKN-228,28-06-2007,23:12:37,успешно,нет,0.0
17487,юр. лицо,получение средств,2222.45,наличный,Гродно,БелАгропромбанк-DFXV-416,17-10-2002,23:07:08,успешно,нет,0.0
17498,юр. лицо,получение средств,2061.24,безналичный,Могилев,Белинвестбанк-OGFW-508,10-10-2023,23:50:24,успешно,нет,0.0
17567,физ. лицо,получение средств,2237.08,наличный,Гомель,МаксБанк-QCSN-083,27-06-2000,23:13:07,успешно,нет,0.0
17573,физ. лицо,списание средств,3686.92,наличный,Гродно,Беларусбанк-LHXD-284,01-02-2002,23:19:37,неправильный ввод пин-кода,да,100.35
17574,физ. лицо,получение средств,1882.14,безналичный,Могилев,МаксБанк-WMCV-829,23-01-2007,23:41:59,успешно,нет,0.0
17615,физ. лицо,списание средств,1350.69,наличный,Гомель,Беларусбанк-RQFY-615,13-08-2015,23:47:13,неправильный ввод пин-кода,нет,0.0
17619,физ. лицо,списание средств,2757.48,безналичный,Витебск,Белинвестбанк-CQUT-820,20-11-2017,23:45:51,успешно,да,48.98
17732,юр. лицо,списание средств,2007.72,безналичный,Витебск,МаксБанк-XORR-394,25-10-2012,23:41:23,успешно,нет,0.0
17738,физ. лицо,списание средств,1262.27,наличный,Гродно,Белинвестбанк-MPOQ-703,26-09-2020,23:57:23,успешно,да,93.18
17754,физ. лицо,получение средств,73.84,наличный,Могилев,БелАгропромбанк-CSRM-258,31-03-2001,23:00:35,успешно,нет,0.0
17805,физ. лицо,получение средств,1925.84,безналичный,Витебск,Белинвестбанк-ZUOD-754,21-09-2015,23:13:26,успешно,нет,0.0
17820,физ. лицо,списание средств,207.89,безналичный,Гродно,Беларусбанк-GSIS-927,12-07-2015,23:35:02,недостаточно средств,да,14.66
17824,юр. лицо,списание средств,1255.88,безналичный,Гродно,МаксБанк-ULJV-799,08-10-2013,23:20:51,недостаточно средств,нет,0.0
17826,физ. лицо,получение средств,559.9,безналичный,Витебск,БелАгропромбанк-WCUW-430,08-07-2023,23:51:39,успешно,нет,0.0
17876,юр. лицо,списание средств,2417.81,наличный,Могилев,Беларусбанк-OWAE-888,25-01-2017,23:20:43,неправильный ввод пин-кода,да,201.5
17891,физ. лицо,получение средств,4418.96,безналичный,Витебск,МаксБанк-HKFO-032,06-10-2011,23:14:05,успешно,нет,0.0
17911,юр. лицо,списание средств,2091.39,безналичный,Гродно,МаксБанк-OXMF-187,26-07-2012,23:55:30,недостаточно средств,да,101.23
17913,юр. лицо,списание средств,4810.11,наличный,Витебск,Беларусбанк-UILC-657,12-01-2020,23:23:02,успешно,нет,0.0
17918,физ. лицо,списание средств,4036.9,наличный,Гомель,БелАгропромбанк-DDIL-519,08-03-2007,23:08:18,успешно,нет,0.0
17920,физ. лицо,получение средств,706.38,безналичный,Гомель,МаксБанк-ZHQA-110,17-04-2019,23:07:37,успешно,нет,0.0
17969,юр. лицо,получение средств,1747.11,наличный,Гомель,Беларусбанк-QZXK-970,06-09-2014,23:21:51,успешно,нет,0.0
17977,юр. лицо,списание средств,845.55,наличный,Брест,Приорбанк-PXFG-125,24-12-2014,23:45:06,недостаточно средств,нет,0.0
17988,физ. лицо,списание средств,4613.3,безналичный,Минск,МаксБанк-MIZX-092,23-12-2008,23:01:14,неправильный ввод пин-кода,да,214.32
18066,физ. лицо,получение средств,2873.74,безналичный,Витебск,БелАгропромбанк-GYFO-545,07-01-2007,23:06:02,успешно,нет,0.0
18081,юр. лицо,получение средств,3818.78,безналичный,Гомель,Беларусбанк-KLAM-407,30-11-2022,23:20:31,успешно,нет,0.0
18105,физ. лицо,получение средств,565.96,наличный,Витебск,Приорбанк-AUTL-569,23-02-2012,23:17:51,успешно,нет,0.0
18167,юр. лицо,списание средств,3972.81,наличный,Брест,БелАгропромбанк-ZSBF-610,07-05-2019,23:30:50,недостаточно средств,да,168.43
18181,юр. лицо,списание средств,4996.13,наличный,Гомель,БелАгропромбанк-GUMZ-489,29-12-2006,23:20:43,недостаточно средств,да,99.34
18182,физ. лицо,получение средств,3033.91,безналичный,Могилев,БелАгропромбанк-GYVI-278,17-07-2001,23:07:50,успешно,нет,0.0
18184,юр. лицо,получение средств,2656.06,безналичный,Гомель,Приорбанк-ERNW-240,16-04-2018,23:18:29,успешно,нет,0.0
18208,юр. лицо,списание средств,3413.48,безналичный,Гомель,БелАгропромбанк-XQZE-434,22-12-2006,23:43:06,успешно,нет,0.0
18223,юр. лицо,списание средств,3422.36,безналичный,Минск,Приорбанк-MIAT-039,15-03-2011,23:08:21,успешно,нет,0.0
18228,юр. лицо,получение средств,3627.95,наличный,Минск,Приорбанк-ABKR-633,29-03-2002,23:35:54,успешно,нет,0.0
18229,юр. лицо,получение средств,4108.54,безналичный,Витебск,Белинвестбанк-VTUJ-165,22-04-2019,23:11:40,успешно,нет,0.0
18231,юр. лицо,списание средств,1845.03,наличный,Гомель,Беларусбанк-VUDW-836,17-08-2001,23:54:21,недостаточно средств,нет,0.0
18247,физ. лицо,списание средств,4105.92,безналичный,Гродно,МаксБанк-DKGU-670,10-05-2010,23:46:06,успешно,нет,0.0
18299,юр. лицо,получение средств,3461.58,наличный,Минск,Белинвестбанк-XDWG-238,28-04-2003,23:32:48,успешно,нет,0.0
